Collecting system stats...
top - 00:27:40 up 2 days,  7:39,  0 users,  load average: 3.46, 4.38, 4.39
Tasks: 138 total,   3 running, 135 sleeping,   0 stopped,   0 zombie
%Cpu(s): 81.0 us, 19.0 sy,  0.0 ni,  0.0 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st
MiB Mem :   3876.5 total,   1403.9 free,   1331.7 used,   1140.9 buff/cache
MiB Swap:      0.0 total,      0.0 free,      0.0 used.   2364.7 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
    586 root      20   0   82700   2468   2120 S   0.0   0.1   0:07.66 irqbala+
    588 root      20   0   33080  14176   5272 S   0.0   0.4   0:00.43 network+
    592 syslog    20   0  222404   4448   2764 S   0.0   0.1   0:02.06 rsyslogd
    594 root      20   0 1393452  24032  12848 S   0.0   0.6   0:20.90 snapd
    596 root      20   0   15024   2764   1820 S   0.0   0.1   0:00.62 systemd+
    602 root      20   0    6220    776    692 S   0.0   0.0   0:00.00 agetty
    606 root      20   0    6176    856    768 S   0.0   0.0   0:00.01 agetty
    631 root      20   0   15436   6416   4776 S   0.0   0.2   0:06.02 sshd
    634 root      20   0  235484   4520   3224 S   0.0   0.1   0:00.02 polkitd
    639 root      20   0   55224   1640      0 S   0.0   0.0   0:00.00 nginx
    641 www-data  20   0   55856   4272   2288 S   0.0   0.1   0:01.34 nginx
    642 www-data  20   0   55856   3144   1236 S   0.0   0.1   0:00.01 nginx
    647 root      20   0  110104  11264   3124 S   0.0   0.3   0:00.27 unatten+
    661 postgres  20   0  218728  18308  15552 S   0.0   0.5   0:06.63 postgres
    664 postgres  20   0  218728   3000    244 S   0.0   0.1   0:00.04 postgres
    665 postgres  20   0  218728   6032   3252 S   0.0   0.2   0:01.56 postgres
    666 postgres  20   0  218728   7504   4732 S   0.0   0.2   0:01.53 postgres
    667 postgres  20   0  219400   7100   3952 S   0.0   0.2   0:03.11 postgres
    668 postgres  20   0   73460   3880    964 S   0.0   0.1   0:02.95 postgres
    669 postgres  20   0  219156   4404   1384 S   0.0   0.1   0:00.06 postgres
    719 root      20   0   44464  31860   4000 S   0.0   0.8   0:37.29 miniser+
   1489 root      20   0  295984   6096   3084 S   0.0   0.2   0:01.15 package+
  54578 root      20   0       0      0      0 I   0.0   0.0   0:11.33 kworker+
  75257 root      20   0       0      0      0 I   0.0   0.0   0:03.81 kworker+
  82476 root      20   0    7228   1888   1652 S   0.0   0.0   0:00.05 git
 102496 root      20   0  937076  99108  33732 S   0.0   2.5   1:30.46 PM2 v5.+
 102507 root      20   0  642200  64976  33956 S   0.0   1.6   0:58.84 node /v+
 123636 root      20   0    5696   4824   3108 S   0.0   0.1   0:00.05 bash
 123637 root      20   0   27096  22612   3512 S   0.0   0.6   0:01.27 shellse+
 123654 root      20   0   44760  35628   7524 S   0.0   0.9   0:00.41 miniser+
 146938 root      20   0       0      0      0 I   0.0   0.0   0:00.22 kworker+
 146939 root      20   0       0      0      0 I   0.0   0.0   0:00.26 kworker+
 149650 root      20   0       0      0      0 I   0.0   0.0   0:00.25 kworker+
 154839 root      20   0       0      0      0 I   0.0   0.0   0:00.16 kworker+
 160438 root      20   0       0      0      0 I   0.0   0.0   0:00.08 kworker+
 166522 root      20   0       0      0      0 I   0.0   0.0   0:00.05 kworker+
 167521 root      20   0  709120  59172  35552 S   0.0   1.5   0:01.17 npm sta+
 167534 root      20   0    2892    964    872 S   0.0   0.0   0:00.05 sh
 167535 root      20   0  598860  48512  33444 S   0.0   1.2   0:00.52 node
 168255 root      20   0    2892    964    868 S   0.0   0.0   0:00.00 sh
 168256 root      20   0    4364   3156   2884 S   0.0   0.1   0:00.00 update_+
 168546 root      20   0  709076  57676  35176 S   0.0   1.5   0:00.54 npm sta+
 168557 root      20   0    2896    968    876 S   0.0   0.0   0:00.00 sh
 168558 root      20   0  591188  40024  31684 S   0.0   1.0   0:00.10 node
 168565 root      20   0   43.1g 362012  35124 S   0.0   9.1   0:13.91 node
 168740 root      20   0    2892    992    900 S   0.0   0.0   0:00.00 sh
 168741 root      20   0    4364   3232   2960 S   0.0   0.1   0:00.00 update_+
 169232 root      20   0   31132  17968   5700 S   0.0   0.5   0:00.01 gunicorn
 169233 root      20   0   66496  52552  10848 S   0.0   1.3   0:01.05 gunicorn
 169234 root      20   0    2892   1008    912 S   0.0   0.0   0:00.00 sh
 169235 root      20   0    4364   3140   2868 S   0.0   0.1   0:00.00 update_+
 169331 root      20   0  708896  58312  35736 S   0.0   1.5   0:01.05 npm run+
 169342 root      20   0    2896    960    860 S   0.0   0.0   0:00.00 sh
 169343 root      20   0  591112  39868  31676 S   0.0   1.0   0:00.20 node
 169362 root      20   0    2892    984    888 S   0.0   0.0   0:00.00 sh
 169363 root      20   0    4364   3348   3076 S   0.0   0.1   0:00.00 update_+
 169365 root      20   0    2892    960    868 S   0.0   0.0   0:00.00 sh
 169366 root      20   0    4496   3448   3052 S   0.0   0.1   0:00.06 bash
 169369 root      20   0    4364   1680   1400 S   0.0   0.0   0:00.00 bash
 169373 root      20   0    2796   1044    952 S   0.0   0.0   0:00.00 tee
 169471 root      20   0   15436   8884   7368 S   0.0   0.2   0:00.00 sshd
 169472 sshd      20   0   15436   5496   3880 S   0.0   0.1   0:00.00 sshd
 169781 root      20   0    7368   3580   2984 R   0.0   0.1   0:00.00 top
Filesystem      Size  Used Avail Use% Mounted on
tmpfs           388M  1.1M  387M   1% /run
/dev/vda1        97G  5.1G   92G   6% /
tmpfs           1.9G   28K  1.9G   1% /dev/shm
tmpfs           5.0M     0  5.0M   0% /run/lock
/dev/vda15      105M  6.1M   99M   6% /boot/efi
               total        used        free      shared  buff/cache   available
Mem:            3876        1331        1403          17        1140        2364
Swap:              0           0           0
