Collecting system stats...
top - 00:29:25 up 2 days,  7:40,  0 users,  load average: 3.56, 4.12, 4.30
Tasks: 138 total,   3 running, 135 sleeping,   0 stopped,   0 zombie
%Cpu(s): 92.9 us,  7.1 sy,  0.0 ni,  0.0 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st
MiB Mem :   3876.5 total,   1374.1 free,   1362.2 used,   1140.2 buff/cache
MiB Swap:      0.0 total,      0.0 free,      0.0 used.   2309.3 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
    581 message+  20   0    8708   4224   3476 S   0.0   0.1   0:00.69 dbus-da+
    586 root      20   0   82700   2468   2120 S   0.0   0.1   0:07.66 irqbala+
    588 root      20   0   33080  14176   5272 S   0.0   0.4   0:00.43 network+
    592 syslog    20   0  222404   4448   2764 S   0.0   0.1   0:02.07 rsyslogd
    594 root      20   0 1393452  24032  12848 S   0.0   0.6   0:20.91 snapd
    596 root      20   0   15024   2764   1820 S   0.0   0.1   0:00.63 systemd+
    602 root      20   0    6220    776    692 S   0.0   0.0   0:00.00 agetty
    606 root      20   0    6176    856    768 S   0.0   0.0   0:00.01 agetty
    631 root      20   0   15436   6416   4776 S   0.0   0.2   0:06.02 sshd
    634 root      20   0  235484   4520   3224 S   0.0   0.1   0:00.02 polkitd
    639 root      20   0   55224   1640      0 S   0.0   0.0   0:00.00 nginx
    641 www-data  20   0   55856   4272   2288 S   0.0   0.1   0:01.34 nginx
    642 www-data  20   0   55856   3144   1236 S   0.0   0.1   0:00.01 nginx
    647 root      20   0  110104  11264   3124 S   0.0   0.3   0:00.27 unatten+
    661 postgres  20   0  218728  18308  15552 S   0.0   0.5   0:06.64 postgres
    664 postgres  20   0  218728   3000    244 S   0.0   0.1   0:00.04 postgres
    665 postgres  20   0  218728   6032   3252 S   0.0   0.2   0:01.56 postgres
    666 postgres  20   0  218728   7504   4732 S   0.0   0.2   0:01.53 postgres
    667 postgres  20   0  219400   7100   3952 S   0.0   0.2   0:03.11 postgres
    668 postgres  20   0   73460   3880    964 S   0.0   0.1   0:02.95 postgres
    669 postgres  20   0  219156   4404   1384 S   0.0   0.1   0:00.06 postgres
    719 root      20   0   44464  31860   4000 S   0.0   0.8   0:37.31 miniser+
   1489 root      20   0  295984   6096   3084 S   0.0   0.2   0:01.16 package+
  54578 root      20   0       0      0      0 I   0.0   0.0   0:11.33 kworker+
  75257 root      20   0       0      0      0 I   0.0   0.0   0:03.81 kworker+
  82476 root      20   0    7228   1888   1652 S   0.0   0.0   0:00.05 git
 102496 root      20   0  937076  99108  33732 S   0.0   2.5   1:30.49 PM2 v5.+
 123636 root      20   0    5696   4824   3108 S   0.0   0.1   0:00.05 bash
 123637 root      20   0   27096  22612   3512 S   0.0   0.6   0:01.28 shellse+
