Сбор системной статистики...
top - 00:07:35 up 2 days,  7:18,  0 users,  load average: 6.46, 3.65, 2.45
Tasks: 142 total,   4 running, 138 sleeping,   0 stopped,   0 zombie
%Cpu(s): 92.9 us,  7.1 sy,  0.0 ni,  0.0 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st
MiB Mem :   3876.5 total,   1488.7 free,   1262.1 used,   1125.7 buff/cache
MiB Swap:      0.0 total,      0.0 free,      0.0 used.   2395.0 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
 151667 root      20   0  658364 115760  32964 R  53.8   2.9   0:04.32 node
 151776 root      20   0  658440 116768  33088 R  42.3   2.9   0:03.47 node
 151062 root      20   0   32.3g 361068  34004 S  38.5   9.1   0:21.01 node
 151440 root      20   0   11.7g 143400  34000 R  15.4   3.6   0:06.79 node
      1 root      20   0  167624  11112   6336 S   0.0   0.3   0:10.29 systemd
      2 root      20   0       0      0      0 S   0.0   0.0   0:00.01 kthreadd
      3 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_gp
      4 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_par+
      5 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 slub_fl+
      6 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 netns
      8 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     10 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 mm_perc+
     11 root      20   0       0      0      0 S   0.0   0.0   0:00.00 rcu_tas+
     12 root      20   0       0      0      0 S   0.0   0.0   0:00.00 rcu_tas+
     13 root      20   0       0      0      0 S   0.0   0.0   0:01.78 ksoftir+
     14 root      20   0       0      0      0 I   0.0   0.0   0:09.09 rcu_sch+
     15 root      rt   0       0      0      0 S   0.0   0.0   0:00.90 migrati+
     16 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     18 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/0
     19 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/1
     20 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     21 root      rt   0       0      0      0 S   0.0   0.0   0:00.96 migrati+
     22 root      20   0       0      0      0 S   0.0   0.0   0:02.00 ksoftir+
     24 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     25 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kdevtmp+
     26 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 inet_fr+
     27 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kauditd
     31 root      20   0       0      0      0 S   0.0   0.0   0:00.07 khungta+
     32 root      20   0       0      0      0 S   0.0   0.0   0:00.00 oom_rea+
     33 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 writeba+
     34 root      20   0       0      0      0 S   0.0   0.0   0:09.16 kcompac+
     35 root      25   5       0      0      0 S   0.0   0.0   0:00.00 ksmd
     36 root      39  19       0      0      0 S   0.0   0.0   0:00.00 khugepa+
     82 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kintegr+
     83 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kblockd
     84 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 blkcg_p+
     85 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 tpm_dev+
     86 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 ata_sff
     87 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 md
     88 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 edac-po+
     89 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 devfreq+
     90 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 watchdo+
     92 root       0 -20       0      0      0 I   0.0   0.0   0:02.22 kworker+
     94 root      20   0       0      0      0 S   0.0   0.0   0:51.71 kswapd0
     95 root      20   0       0      0      0 S   0.0   0.0   0:00.00 ecryptf+
     97 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kthrotld
     98 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 acpi_th+
    100 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    101 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tm+
    102 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    103 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tm+
    105 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 vfio-ir+
    106 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 mld
    107 root       0 -20       0      0      0 I   0.0   0.0   0:01.38 kworker+
    108 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 ipv6_ad+
    117 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kstrp
    120 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 zswap-s+
    121 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    126 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 charger+
    171 root      20   0       0      0      0 S   0.0   0.0   0:00.25 hwrng
    172 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 cryptd
    239 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 raid5wq
    289 root      20   0       0      0      0 S   0.0   0.0   0:03.51 jbd2/vd+
    290 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 ext4-rs+
    367 root      19  -1   88868  50196  49008 S   0.0   1.3   0:09.63 systemd+
    395 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kaluad
    396 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kmpath_+
    399 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kmpathd
    400 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kmpath_+
    401 root      rt   0  289316  27100   9072 S   0.0   0.7   0:16.41 multipa+
    403 root      20   0   11412   2836   1144 S   0.0   0.1   0:00.55 systemd+
    496 systemd+  20   0   89360   3456   2596 S   0.0   0.1   0:00.38 systemd+
    566 systemd+  20   0   16248   5248   4192 S   0.0   0.1   0:01.43 systemd+
    568 systemd+  20   0   25668   6560   2176 S   0.0   0.2   0:01.47 systemd+
    579 root      20   0    7288   2332   2072 S   0.0   0.1   0:00.34 cron
    581 message+  20   0    8708   4224   3476 S   0.0   0.1   0:00.62 dbus-da+
    586 root      20   0   82700   2468   2120 S   0.0   0.1   0:07.62 irqbala+
    588 root      20   0   33080  14176   5272 S   0.0   0.4   0:00.43 network+
    592 syslog    20   0  222404   4448   2764 S   0.0   0.1   0:01.94 rsyslogd
    594 root      20   0 1393452  24032  12848 S   0.0   0.6   0:20.85 snapd
    596 root      20   0   15024   2764   1820 S   0.0   0.1   0:00.60 systemd+
    602 root      20   0    6220    776    692 S   0.0   0.0   0:00.00 agetty
    606 root      20   0    6176    856    768 S   0.0   0.0   0:00.01 agetty
    631 root      20   0   15436   6416   4776 S   0.0   0.2   0:06.01 sshd
    634 root      20   0  235484   4520   3224 S   0.0   0.1   0:00.02 polkitd
    639 root      20   0   55224   1640      0 S   0.0   0.0   0:00.00 nginx
    641 www-data  20   0   55856   4272   2288 S   0.0   0.1   0:01.34 nginx
    642 www-data  20   0   55856   3144   1236 S   0.0   0.1   0:00.01 nginx
    647 root      20   0  110104  11264   3124 S   0.0   0.3   0:00.27 unatten+
    661 postgres  20   0  218728  18308  15552 S   0.0   0.5   0:06.55 postgres
    664 postgres  20   0  218728   3000    244 S   0.0   0.1   0:00.04 postgres
    665 postgres  20   0  218728   6032   3252 S   0.0   0.2   0:01.56 postgres
    666 postgres  20   0  218728   7504   4732 S   0.0   0.2   0:01.53 postgres
    667 postgres  20   0  219400   7100   3952 S   0.0   0.2   0:03.04 postgres
    668 postgres  20   0   73460   3880    964 S   0.0   0.1   0:02.93 postgres
    669 postgres  20   0  219156   4404   1384 S   0.0   0.1   0:00.06 postgres
    719 root      20   0   44464  31860   4000 S   0.0   0.8   0:36.52 miniser+
   1489 root      20   0  295984   6096   3084 S   0.0   0.2   0:01.15 package+
  54578 root      20   0       0      0      0 I   0.0   0.0   0:11.33 kworker+
  75257 root      20   0       0      0      0 I   0.0   0.0   0:03.81 kworker+
  82476 root      20   0    7228   1888   1652 S   0.0   0.0   0:00.05 git
 102496 root      20   0  937076  99108  33732 S   0.0   2.5   1:29.55 PM2 v5.+
 102507 root      20   0  641748  64476  33956 S   0.0   1.6   0:55.04 node /v+
 123636 root      20   0    5696   4824   3108 S   0.0   0.1   0:00.04 bash
 123637 root      20   0   27096  22612   3512 S   0.0   0.6   0:00.86 shellse+
 123654 root      20   0   44760  35628   7524 S   0.0   0.9   0:00.32 miniser+
 126024 root      20   0       0      0      0 I   0.0   0.0   0:00.45 kworker+
 129309 root      20   0       0      0      0 I   0.0   0.0   0:00.38 kworker+
 143572 root      20   0       0      0      0 I   0.0   0.0   0:00.04 kworker+
 143757 root      20   0  635860  59488  34132 S   0.0   1.5   0:02.75 node /s+
 146938 root      20   0       0      0      0 I   0.0   0.0   0:00.05 kworker+
 146939 root      20   0       0      0      0 I   0.0   0.0   0:00.08 kworker+
 149650 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
 150119 root      20   0    2892    944    848 S   0.0   0.0   0:00.00 sh
 150126 root      20   0    4364   3256   2988 S   0.0   0.1   0:00.00 update_+
 150678 root      20   0    2892   1004    912 S   0.0   0.0   0:00.00 sh
 150679 root      20   0    4364   3144   2876 S   0.0   0.1   0:00.00 update_+
 151020 root      20   0  709040  57540  35176 S   0.0   1.4   0:01.08 npm run+
 151048 root      20   0    2896    964    868 S   0.0   0.0   0:00.00 sh
 151053 root      20   0  591108  39888  31488 S   0.0   1.0   0:00.20 node
 151249 root      20   0    2892    952    860 S   0.0   0.0   0:00.00 sh
 151250 root      20   0    4364   3356   3084 S   0.0   0.1   0:00.00 update_+
 151252 root      20   0    2892    980    888 S   0.0   0.0   0:00.00 sh
 151253 root      20   0    4496   3456   3036 S   0.0   0.1   0:00.00 bash
 151259 root      20   0    4364   1704   1412 S   0.0   0.0   0:00.00 bash
 151261 root      20   0    2796   1112   1024 S   0.0   0.0   0:00.04 tee
 151313 root      20   0   31132  18028   5760 S   0.0   0.5   0:00.02 gunicorn
 151316 root      20   0    2892    960    864 S   0.0   0.0   0:00.00 sh
 151318 root      20   0    4364   3128   2860 S   0.0   0.1   0:00.00 update_+
 151421 root      20   0  701720  58696  35680 S   0.0   1.5   0:00.89 npm sta+
 151432 root      20   0    2896    992    896 S   0.0   0.0   0:00.00 sh
 151433 root      20   0  591108  40076  31676 S   0.0   1.0   0:00.14 node
 151453 root      20   0  708936  57276  35176 S   0.0   1.4   0:01.30 npm run+
 151494 root      20   0  701472  58660  35684 S   0.0   1.5   0:00.91 npm run+
 151646 root      20   0    2896    960    868 S   0.0   0.0   0:00.00 sh
 151647 root      20   0  591116  39960  31516 S   0.0   1.0   0:00.20 node
 151703 root      20   0    2896   1012    912 S   0.0   0.0   0:00.00 sh
 151704 root      20   0  591220  40164  31720 S   0.0   1.0   0:00.26 node
 151789 root      20   0   66308  52020  10764 S   0.0   1.3   0:01.19 gunicorn
 151800 root      20   0   15436   8744   7220 S   0.0   0.2   0:00.00 sshd
 151801 sshd      20   0   15436   5592   3976 S   0.0   0.1   0:00.00 sshd
 151803 root      20   0    7500   3548   2960 R   0.0   0.1   0:00.00 top
Filesystem      Size  Used Avail Use% Mounted on
tmpfs           388M  1.1M  387M   1% /run
/dev/vda1        97G  5.1G   92G   6% /
tmpfs           1.9G   28K  1.9G   1% /dev/shm
tmpfs           5.0M     0  5.0M   0% /run/lock
/dev/vda15      105M  6.1M   99M   6% /boot/efi
               total        used        free      shared  buff/cache   available
Mem:            3876        1267        1483          17        1125        2389
Swap:              0           0           0
